word,artist,title,url,count
murder,kendrick,Pocket Off (N95 Demo),https://genius.com/Kendrick-lamar-pocket-off-n95-demo-lyrics,262
am,kendrick,Thuggin’,https://genius.com/Glasses-malone-thuggin-lyrics,260
nigga,kendrick,"Sing About Me, I’m Dying of Thirst",,259
no,kendrick,Money Trees,,256
should,kendrick,GOOD CREDIT,https://genius.com/Playboi-carti-and-kendrick-lamar-good-credit-lyrics,255
something,kendrick,Before He Was Famous Freestyle (Nickerson Gardens Cypha),https://genius.com/Kendrick-lamar-before-he-was-famous-freestyle-nickerson-gardens-cypha-lyrics,254
same,kendrick,Ab-Soul’s Outro,https://genius.com/Kendrick-lamar-ab-souls-outro-lyrics,252
done,kendrick,Pocket Off (N95 Demo),https://genius.com/Kendrick-lamar-pocket-off-n95-demo-lyrics,252
there,kendrick,Enjoy (West Coastin’),https://genius.com/9th-wonder-enjoy-west-coastin-lyrics,252
inside,kendrick,Kendrick Lamar’s Interlude,https://genius.com/Ab-soul-kendrick-lamars-interlude-lyrics,250
hate,kendrick,GOOD CREDIT,https://genius.com/Playboi-carti-and-kendrick-lamar-good-credit-lyrics,247
its,kendrick,The Art of Peer Pressure,,246
hold,kendrick,Fire,https://genius.com/Sir-fire-lyrics,244
fuckin,kendrick,Love Game,https://genius.com/Eminem-love-game-lyrics,243
hoes,kendrick,Ab-Soul’s Outro,https://genius.com/Kendrick-lamar-ab-souls-outro-lyrics,243
love,kendrick,LOVE.,,242
hol,kendrick,Big Shot,https://genius.com/Kendrick-lamar-and-travis-scott-big-shot-lyrics,241
ever,kendrick,Tints,https://genius.com/Anderson-paak-tints-lyrics,241
if,kendrick,6:16 in LA,,240
everybody,kendrick,A Milli (Freestyle),https://genius.com/Kendrick-lamar-a-milli-freestyle-lyrics,237
young,kendrick,Kites,https://genius.com/Nerd-kendrick-lamar-and-mia-kites-lyrics,236
try,kendrick,Welcome to C4,https://genius.com/Kendrick-lamar-welcome-to-c4-lyrics,234
myself,kendrick,Reasons For Seasons,https://genius.com/Terrace-martin-reasons-for-seasons-lyrics,233
did,kendrick,Welcome to C4,https://genius.com/Kendrick-lamar-welcome-to-c4-lyrics,232
away,kendrick,Not Like Us (Mixed),https://genius.com/Kendrick-lamar-not-like-us-mixed-lyrics,232
first,kendrick,Grammy Family (Freestyle),https://genius.com/Kendrick-lamar-grammy-family-freestyle-lyrics,232
bitch,kendrick,Money Trees,,232
hear,kendrick,Funkmaster Flex Freestyle,https://genius.com/Kendrick-lamar-funkmaster-flex-freestyle-lyrics,231
again,kendrick,We Next (Silent Hill Demo),https://genius.com/Kendrick-lamar-we-next-silent-hill-demo-lyrics,230
whole,kendrick,Thuggin’ (Remix),https://genius.com/Glasses-malone-thuggin-remix-lyrics,229
feel,kendrick,United in Grief,,228
best,kendrick,Dumb It Down,https://genius.com/Kendrick-lamar-dumb-it-down-lyrics,228
dead,kendrick,Over and Over,https://genius.com/Shwayze-and-cisco-over-and-over-lyrics,228
talkin,kendrick,Reasons For Seasons,https://genius.com/Terrace-martin-reasons-for-seasons-lyrics,228
stay,kendrick,Rich Spirit and N95 (Live Performance on SNL),https://genius.com/Kendrick-lamar-rich-spirit-and-n95-live-performance-on-snl-lyrics,227
ooh,kendrick,Beyoncé Bowl (NFL Halftime Show Performance),https://genius.com/Beyonce-beyonce-bowl-nfl-halftime-show-performance-lyrics,227
our,kendrick,Sacrilegious,https://genius.com/Schoolboy-q-sacrilegious-lyrics,225
people,kendrick,Little Johnny,https://genius.com/Kendrick-lamar-little-johnny-lyrics,225
wait,kendrick,They Ready,https://genius.com/Dj-khaled-they-ready-lyrics,225
night,kendrick,Damn. Medley,https://genius.com/Jessica-domingo-damn-medley-lyrics,224
bout,kendrick,euphoria,,224
mama,kendrick,You Ain’t Gotta Lie (Momma Said),https://genius.com/Kendrick-lamar-you-aint-gotta-lie-momma-said-lyrics,224
ah,kendrick,Radioactive (Remix),https://genius.com/Imagine-dragons-radioactive-remix-lyrics,223
ride,kendrick,A Song 4 Buffy (Freestyle),https://genius.com/Kendrick-lamar-a-song-4-buffy-freestyle-lyrics,222
pull,kendrick,Before He Was Famous Freestyle (Nickerson Gardens Cypha),https://genius.com/Kendrick-lamar-before-he-was-famous-freestyle-nickerson-gardens-cypha-lyrics,220
eyes,kendrick,I’m Better,https://genius.com/Sampha-im-better-lyrics,220
homie,kendrick,Really Be (Smokin N Drinkin),https://genius.com/Yg-really-be-smokin-n-drinkin-lyrics,220
much,kendrick,Determined,https://genius.com/Kendrick-lamar-determined-lyrics,219
pussy,kendrick,6'7' Freestyle,https://genius.com/Kendrick-lamar-67-freestyle-lyrics,217
